session_num,participant,timestamp,engagement,of_AU01_c,of_AU02_c,of_AU04_c,of_AU05_c,of_AU06_c,of_AU07_c,of_AU09_c,of_AU10_c,of_AU12_c,of_AU14_c,of_AU15_c,of_AU17_c,of_AU20_c,of_AU23_c,of_AU25_c,of_AU26_c,of_AU28_c,of_AU45_c,of_gaze_0_x,of_gaze_0_y,of_gaze_0_z,of_gaze_1_x,of_gaze_1_y,of_gaze_1_z,of_gaze_angle_x,of_gaze_angle_y,of_pose_Tx,of_pose_Ty,of_pose_Tz,of_pose_Rx,of_pose_Ry,of_pose_Rz
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -36.6057,  -83.5337,  705.3078,   14.9751,  -85.7609,  698.8407,    0.0526,    0.2342,  -10.2320,  -60.1747,  848.9651,    0.8225,    1.5033,    2.6172
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -34.7700,  -82.7206,  720.1406,   18.1718,  -85.0726,  711.1949,    0.0685,    0.2379,   -7.1742,  -60.7194,  859.0214,    0.5879,    1.4881,    2.3835
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -29.2385,  -83.6533,  737.3700,   24.0617,  -84.3444,  732.0437,    0.0764,    0.2550,   -2.2097,  -60.4212,  873.4902,   -0.0401,    1.4947,    1.7671
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -31.3692,  -81.2683,  707.8998,   20.8268,  -82.7823,  704.5996,    0.0711,    0.2566,   -5.0821,  -59.4428,  862.5842,    0.0383,    1.4980,    1.8806
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -41.7818,  -81.3090,  713.2196,   10.8286,  -82.6227,  700.5148,    0.0466,    0.2541,  -16.5168,  -59.9540,  866.5242,    0.7711,    1.5201,    2.6070
0,1,0,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -13.9563,  -59.9972,  867.5190,    1.9321,    1.4979,   -2.5577
0,1,0,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -2.7711,  -58.7359,  888.8649,    2.1723,    1.2972,   -2.1904
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -10.0581,  -66.4213,  959.9025,    2.4541,    1.0145,   -1.9836
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -2.8378,  -60.7619,  853.4841,    1.6510,    1.3862,   -2.7395
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,  -33.7928,  -84.7781,  752.2540,   20.1977,  -88.4476,  740.1747,    0.0564,    0.2775,   -3.4743,  -58.9610,  851.2977,    1.0523,    1.4684,    2.8711
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -39.2154,  -82.7415,  722.3709,   13.0113,  -86.6655,  708.7748,    0.1140,    0.2472,  -11.5357,  -57.4901,  833.5030,    0.5808,    1.4379,    2.3768
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -28.9949,  -83.9802,  733.1188,   24.1334,  -86.2179,  722.2277,    0.1026,    0.2640,   -0.1305,  -58.6704,  835.6145,    0.3625,    1.4512,    2.1461
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -35.7582,  -92.3832,  726.3718,   17.7025,  -95.0567,  715.6022,    0.0469,    0.2166,   -7.0170,  -68.8950,  848.1880,    1.1178,    1.4896,    2.8668
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -33.2141,  -90.0174,  714.6448,   19.6094,  -90.6887,  710.0916,    0.0693,    0.2824,   -6.5438,  -65.1494,  836.1387,    0.2513,    1.5104,    2.0943
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -38.2402,  -86.2508,  723.1655,   14.7197,  -87.2350,  718.2711,    0.0805,    0.2956,  -12.1956,  -61.8624,  848.5290,    0.0879,    1.4967,    1.9542
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -38.6640,  -84.7903,  720.4064,   14.2871,  -85.1823,  712.7747,    0.0736,    0.2902,  -13.3976,  -61.2540,  855.7405,   -0.0527,    1.5057,    1.8183
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -31.5753,  -85.5338,  722.7230,   21.5218,  -85.0352,  717.3809,    0.0791,    0.2679,   -5.9304,  -62.6825,  863.2101,   -0.3469,    1.4945,    1.4918
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -31.4122,  -82.7113,  722.5173,   21.7606,  -82.8780,  718.3270,    0.0827,    0.2749,   -5.3764,  -59.9010,  862.2639,   -0.3066,    1.4879,    1.5433
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -28.0914,  -79.8629,  721.1198,   25.0912,  -79.8861,  720.5992,    0.0897,    0.2871,   -2.1297,  -56.3985,  861.6760,   -0.4763,    1.4730,    1.3920
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -30.0860,  -75.9588,  714.4199,   22.9145,  -75.9816,  711.0746,    0.0834,    0.2884,   -4.1609,  -51.5442,  852.4559,   -0.4514,    1.4804,    1.4270
0,1,0,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -29.7603,  -73.5252,  716.3591,   23.2193,  -73.7629,  714.6036,    0.0883,    0.2871,   -3.9007,  -48.6137,  854.3065,   -0.4615,    1.4727,    1.4164
0,1,0,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -7.0429,  -46.0455,  856.1929,   -0.4158,    1.4103,    1.3835
0,1,0,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -9.7696,  -47.9727,  877.9680,   -0.3842,    1.3037,    1.3093
0,1,0,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -10.6001,  -52.3203,  824.9677,   -0.2124,    1.1641,    1.4560
0,1,0,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -12.3657,  -56.3038,  800.8717,   -0.2840,    1.0587,    1.4188
