participant,engagement,of_AU01_c,of_AU02_c,of_AU04_c,of_AU05_c,of_AU06_c,of_AU07_c,of_AU09_c,of_AU10_c,of_AU12_c,of_AU14_c,of_AU15_c,of_AU17_c,of_AU20_c,of_AU23_c,of_AU25_c,of_AU26_c,of_AU28_c,of_AU45_c,of_gaze_0_x,of_gaze_0_y,of_gaze_0_z,of_gaze_1_x,of_gaze_1_y,of_gaze_1_z,of_gaze_angle_x,of_gaze_angle_y,of_pose_Tx,of_pose_Ty,of_pose_Tz,of_pose_Rx,of_pose_Ry,of_pose_Rz,timestamp,session_num
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.6611,-49.1389,1025.3817,30.0728,-49.4561,1011.0479,0.0206,0.1653,6053,-20.1036,1238.6823,1018,1556,2.7734,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.3929,-49.1918,1022.0333,30.1917,-49.4691,1007.9595,0.0201,0.1689,6.2791,-20.3707,1238683,1.0241,1.5565,2785,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.3575,-49.1688,1023761,30.3225,-49.4728,1009.5699,0.0223,0.1712,6.3464,-20.2577,1237.5811,0.8824,1.5555,2.6448,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-21.4862,-49.3529,1029.7299,30.3076,-49.4395,1012.3632,0.0174,0.1567,6.2182,-20.6363,1244.1992,1.4771,1.5586,-3065,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-21.4066,-49.5476,1031879,30.4718,-49.3835,1013728,0.0167,0.1554,6.1529,-20.9088,1246.6351,1.6777,1564,-2.8686,0,0
4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-21.4788,-49.3195,1030.4281,30.48,-49.3646,1014185,0.0194,0.1583,6.1458,-20.4929,1244.5352,1.1016,1.5624,2845,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-21.3335,-49.0267,1026.4324,30.4464,-48.9999,1009.6564,0.0165,0.1564,6.2567,-20.2412,1244.0558,1.5158,1563,-3.0244,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-21.5357,-49.0307,1028.3154,30.4127,-49.0597,1011.9214,0.0181,0.1588,6.0353,-20.1548,1243.3004,1.2862,1.5636,3.0309,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-21.6155,-49.0452,1029.5144,30305,-48.99,1012.5894,0.0167,0.1574,5.8974,-20.1413,1244.8777,1.6079,1564,-2.9318,0,0
4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-21.5567,-48.8462,1028415,30.4234,-48.7927,1011439,0.0169,0.1609,6.0153,-20.0001,1243.2405,1.6315,1563,-2.9041,0,0
